orthologACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A4QNL6,SMI19_XENTR,ENSXETP00000016234,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A5D7B5,SMI19_BOVIN,ENSBTAP00000001296,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1LVG4,F1LVG4_RAT,ENSRNOP00000031728,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1NAT7,F1NAT7_CHICK,ENSGALP00000016471,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6WNJ3,F6WNJ3_MONDO,ENSMODP00000012679,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6WTA3,F6WTA3_MACMU,ENSMMUP00000026580,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7CGG0,F7CGG0_ORNAN,ENSOANP00000001097,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QW38,H2QW38_PANTR,ENSPTRP00000034608,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2RQL7,H2RQL7_TAKRU,ENSTRUP00000002432,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSCAFP00000008157,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q4V921,SMI19_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q80ZU4,SMI19_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q96E16,SMI19_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
