orthologACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2U482,H2U482_TAKRU,ENSTRUP00000031744,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D3ZDN9,D3ZDN9_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BVD8,E1BVD8_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2RKJ5,E2RKJ5_CANFA,ENSCAFP00000021281,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6S1D6,F6S1D6_MONDO,ENSMODP00000000026,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6TCS8,F6TCS8_MACMU,ENSMMUP00000020463,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6ZFL8,F6ZFL8_ORNAN,ENSOANP00000004869,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2R7P6,H2R7P6_PANTR,ENSPTRP00000050650,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSBTAP00000044240,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q561X1,Q561X1_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6DJQ9,APC16_XENTR,ENSXETP00000013527,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q96DE5,APC16_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9CPV2,APC16_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
