orthologACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
D3ZZT3,D3ZZT3_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A4IF75,TM182_BOVIN,ENSBTAP00000049465,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B2RVY9,TM182_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BV43,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6XB89,F6XB89_MACMU,ENSMMUP00000005574,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7DZ90,F7DZ90_MONDO,ENSMODP00000002972,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7F954,F7F954_ORNAN,ENSOANP00000019378,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QIH1,H2QIH1_PANTR,ENSPTRP00000021083,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2UDD1,H2UDD1_TAKRU,ENSTRUP00000034950,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5CZV0,TM182_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6ZP80,TM182_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
