orthologACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
D3ZNX3,D3ZNX3_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2R250,E2R250_CANFA,ENSCAFP00000027914,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7C6V8,F7C6V8_MONDO,ENSMODP00000035587,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7H6W9,F7H6W9_MACMU,ENSMMUP00000008576,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QAK5,H2QAK5_PANTR,ENSPTRP00000013253,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2TRS2,H2TRS2_TAKRU,ENSTRUP00000027379,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSGALP00000032852,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O95424,DEXI_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6AXJ3,DEXI_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9WUQ7,DEXI_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
