ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O59732,CHR1_SCHPO,nan,SCHPO,7.0,1,,,,,1,1,,,1,,1,1,1
A7EG20,A7EG20_SCLS1,nan,SCLS1,3.0,,,,,,,,,,1,,,1,1
A7RWH8,A7RWH8_NEMVE,nan,NEMVE,3.0,,,,,,,1,,,,,1,1,
F6WRY5,F6WRY5_ORNAN,ENSOANP00000013180,ORNAN,3.0,,,,,,,1,,,,,1,1,
Q5KGQ9,Q5KGQ9_CRYNJ,nan,CRYNJ,3.0,,,,,,,,,,,,1,1,1
Q7SDE9,nan,nan,nan,2.0,,,,,,,,,,1,,,,1
A2EXB8,A2EXB8_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,,1,1,
D4AC65,D4AC65_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
E1BPN8,E1BPN8_BOVIN,ENSBTAP00000002656,BOVIN,2.0,,,,,,,,,,,,1,1,
E1C201,E1C201_CHICK,nan,CHICK,2.0,,,,,,,,,,,,1,1,
E1C691,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
Q748V7,Q748V7_GEOSL,nan,GEOSL,2.0,,,,,,,,,,,,,1,1
F1NUY7,F1NUY7_CHICK,ENSGALP00000017235,CHICK,2.0,,,,,,,,,,,,1,1,
Q5TYQ3,COA7_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
F6X3M9,F6X3M9_MONDO,ENSMODP00000000692,MONDO,2.0,,,,,,,,,,,,1,1,
F7F7R5,F7F7R5_MONDO,ENSMODP00000013107,MONDO,2.0,1,,,,,,,,,,,,1,
Q5A4I5,Q5A4I5_CANAL,nan,CANAL,2.0,,,,,,,,,,1,,,,1
C4PZK9,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
G3V8I7,G3V8I7_RAT,ENSRNOP00000026273,RAT,2.0,,,,,,,,,,,,1,1,
H2PZ14,H2PZ14_PANTR,ENSPTRP00000001278,PANTR,2.0,,,,,,,,,,,,1,1,
H2VDF8,H2VDF8_TAKRU,ENSTRUP00000047252,TAKRU,2.0,,,,,,,,,,,,1,1,
P34226,SKT5_YEAST,nan,YEAST,2.0,,,,,,,,,,,,1,,1
Q23450,COA7_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
P77234,YBEQ_ECOLI,nan,ECOLI,2.0,,,,,,,,,,,,1,1,
P77296,YBET_ECOLI,nan,ECOLI,2.0,,,,,,,,,,,,1,1,
Q0UVF6,Q0UVF6_PHANO,nan,PHANO,2.0,,,,,,,,,,1,,,,1
C4PZL0,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
Q0V9D9,COA7_XENTR,ENSXETP00000017668,XENTR,2.0,,,,,,,,,,,,1,1,
C3YMC7,C3YMC7_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
B0Y9Q8,B0Y9Q8_ASPFC,nan,ASPFC,2.0,,,,,,,,,,1,,,,1
A2GBJ1,A2GBJ1_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,,1,1,
A5PLI4,LR2BP_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSCINP00000013272,CIOIN,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSCAFP00000005557,CANFA,2.0,,,,,,,,,,,,1,1,
Q9W5N0,COA7_DROME,nan,DROME,2.0,,,,,,,,,,,,1,1,
A7SRL2,A7SRL2_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
Q96BR5,COA7_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
Q921H9,COA7_MOUSE,ENSMUSP00000114906,MOUSE,2.0,,,,,,,,,,,,1,1,
A9URE5,A9URE5_MONBE,nan,MONBE,2.0,,,,,,,,,,,,1,1,
Q94C27,FB84_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
B8BXC1,B8BXC1_THAPS,nan,THAPS,2.0,1,,,,,1,,,,,,,,
B7PEI5,B7PEI5_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,1,
B8BRJ5,B8BRJ5_THAPS,nan,THAPS,2.0,,,,,,,,,,,,1,1,
Q8A2A4,Q8A2A4_BACTN,nan,BACTN,1.0,,,,,,,,,,,,,1,
Q4P7H9,Q4P7H9_USTMA,nan,USTMA,1.0,,,,,,,,,,1,,,,
Q14154,DELE_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
Q74B15,Q74B15_GEOSL,nan,GEOSL,1.0,,,,,,,,,,,,,1,
Q89KY6,Q89KY6_BRADU,nan,BRADU,1.0,,,,,,,,,,,,,1,
Q9P2M1,LR2BP_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9DCV6,DELE_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q4P9K0,Q4P9K0_USTMA,nan,USTMA,1.0,,,,,,,,,,,,,,1
Q89U99,Q89U99_BRADU,nan,BRADU,1.0,,,,,,,,,,,,,1,
Q9D4C6,LR2BP_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
Q74B01,Q74B01_GEOSL,nan,GEOSL,1.0,,,,,,,,,,,,,1,
Q569C2,LR2BP_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
Q9C6B6,HRD3B_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q86JE7,Q86JE7_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
Q5KF18,Q5KF18_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q6C380,Q6C380_YARLI,nan,YARLI,1.0,,,,,,,,,,,,,,1
A2EIK5,A2EIK5_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,,1,
F6ZD24,F6ZD24_MONDO,ENSMODP00000006431,MONDO,1.0,,,,,,,,,,,,,1,
P39000,SHC1_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,,1
H2R367,H2R367_PANTR,ENSPTRP00000044994,PANTR,1.0,,,,,,,,,,,,1,,
A6UYG3,A6UYG3_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,,,1,
A6VBN1,A6VBN1_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,,,1,
A7S0M8,A7S0M8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
A7S7M0,A7S7M0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
A7S7M3,A7S7M3_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
A7SBE3,A7SBE3_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
A9REC1,A9REC1_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,1,
A9RP42,A9RP42_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,1,,
A9RPE6,A9RPE6_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,1,,
A9SUR3,A9SUR3_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,1,,
B0BMM0,B0BMM0_XENTR,ENSXETP00000003282,XENTR,1.0,,,,,,,,,,,,,1,
B5YN87,B5YN87_THAPS,nan,THAPS,1.0,,,,,,,,,,,,,1,
B7QK54,B7QK54_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,1,
C3XXK4,C3XXK4_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
E1B9G6,E1B9G6_BOVIN,ENSBTAP00000006705,BOVIN,1.0,,,,,,,,,,,,1,,
E1BNT3,E1BNT3_BOVIN,ENSBTAP00000026798,BOVIN,1.0,,,,,,,,,,,,,1,
E2QX83,E2QX83_CANFA,ENSCAFP00000009343,CANFA,1.0,,,,,,,,,,,,,1,
F1N0X1,F1N0X1_BOVIN,ENSBTAP00000011098,BOVIN,1.0,,,,,,,,,,,,,1,
F1NJ34,F1NJ34_CHICK,ENSGALP00000000827,CHICK,1.0,,,,,,,,,,,,,1,
F6R8L5,F6R8L5_CIOIN,ENSCINP00000006011,CIOIN,1.0,,,,,,,,,,,,,1,
F6XSY1,F6XSY1_MONDO,ENSMODP00000000178,MONDO,1.0,,,,,,1,,,,,,,,
F6Y8P0,F6Y8P0_CANFA,ENSCAFP00000011232,CANFA,1.0,,,,,,,,,,,,1,,
F7E250,F7E250_MACMU,ENSMMUP00000004687,MACMU,1.0,,,,,,,,,,,,1,,
F7H0W2,F7H0W2_MACMU,ENSMMUP00000008277,MACMU,1.0,,,,,,,,,,,,,1,
H2QRN9,H2QRN9_PANTR,ENSPTRP00000029662,PANTR,1.0,,,,,,,,,,,,,1,
nan,nan,ENSXETP00000013946,XENTR,1.0,,,,,,,,,,,,,1,
