orthologACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6W3C1,F6W3C1_MONDO,ENSMODP00000038128,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A4IGV6,CE030_XENTR,ENSXETP00000051427,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B3DHS1,CE030_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D3ZPS9,D3ZPS9_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1C318,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2R3V8,E2R3V8_CANFA,ENSCAFP00000031129,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6Z3P2,F6Z3P2_MACMU,ENSMMUP00000005630,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7C2G3,F7C2G3_ORNAN,ENSOANP00000008676,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QRA3,H2QRA3_PANTR,ENSPTRP00000029295,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2SVL7,H2SVL7_TAKRU,ENSTRUP00000016455,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSBTAP00000014662,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8VEB3,CE030_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q96GV9,CE030_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
