ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q8W103,CHR24_ARATH,nan,ARATH,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q2NKX8,ERC6L_HUMAN,nan,HUMAN,10.0,1,1,,,1,1,1,1,,,1,1,1,1
D4A0G9,D4A0G9_RAT,nan,RAT,10.0,1,1,,,1,1,1,1,,,1,1,1,1
Q8BHK9,ERC6L_MOUSE,nan,MOUSE,10.0,1,1,,,1,1,1,1,,,1,1,1,1
A2BGR3,ERC6L_DANRE,nan,DANRE,9.0,1,1,,,1,1,,1,,,1,1,1,1
A9V9E8,A9V9E8_MONBE,nan,MONBE,9.0,1,1,,,1,1,1,1,1,,1,,,1
F7GVS4,F7GVS4_MACMU,ENSMMUP00000017006,MACMU,9.0,1,1,,,1,1,1,1,,,1,1,,1
H2QYS9,H2QYS9_PANTR,ENSPTRP00000037864,PANTR,9.0,1,1,,,1,1,1,1,,,1,1,,1
F6UXF1,F6UXF1_CIOIN,ENSCINP00000019402,CIOIN,9.0,1,1,,,1,1,1,1,,,1,1,,1
H2U0N5,H2U0N5_TAKRU,ENSTRUP00000030494,TAKRU,9.0,1,1,,,1,1,1,1,,,1,1,,1
C4QJF2,nan,nan,nan,9.0,1,1,,,1,1,1,1,,,1,1,,1
F7F5D7,F7F5D7_MONDO,ENSMODP00000013666,MONDO,9.0,1,1,,,1,1,1,1,,,1,1,,1
F7G511,F7G511_ORNAN,ENSOANP00000023177,ORNAN,9.0,1,1,,,1,1,1,1,,,1,1,,1
E9AC13,E9AC13_LEIMA,nan,LEIMA,8.0,,,,,1,1,1,1,,1,1,1,,1
B7P6G6,B7P6G6_IXOSC,nan,IXOSC,8.0,1,1,,,,1,1,1,1,,,1,,1
A6QQR4,ERC6L_BOVIN,ENSBTAP00000007362,BOVIN,8.0,1,1,,,1,1,1,1,,,1,,,1
Q54IB7,Q54IB7_DICDI,nan,DICDI,8.0,1,1,,,1,,1,,,,1,1,1,1
A7SAF5,A7SAF5_NEMVE,nan,NEMVE,8.0,,,,,1,1,1,1,,1,1,1,,1
F1NCD0,F1NCD0_CHICK,ENSGALP00000006162,CHICK,7.0,,,,,1,1,1,1,,,1,1,,1
F7A198,F7A198_XENTR,ENSXETP00000048867,XENTR,7.0,1,1,,,1,1,1,1,,,1,,,
Q8REE7,Q8REE7_FUSNN,nan,FUSNN,4.0,,,,,,,1,,,1,1,,1,
C3Z7W6,C3Z7W6_BRAFL,nan,BRAFL,3.0,,,,,1,,,,,,1,,,1
Q3KKY6,Q3KKY6_CHLTA,nan,CHLTA,3.0,,,,,,,,,,1,1,,1,
A6VAH6,A6VAH6_PSEA7,nan,PSEA7,3.0,,,,,,,1,,,1,1,,,
Q9RKT0,Q9RKT0_STRCO,nan,STRCO,2.0,,,,,,,,,,1,1,,,
Q97XQ5,Q97XQ5_SULSO,nan,SULSO,2.0,,,,,,,1,,,1,,,,
O53499,nan,nan,nan,2.0,,,,,,,,,,1,1,,,
Q8CK37,Q8CK37_STRCO,nan,STRCO,2.0,,,,,,,,,,1,1,,,
P74552,P74552_SYNY3,nan,SYNY3,2.0,,,,,,,,,,1,1,,,
P94593,YWQA_BACSU,nan,BACSU,2.0,,,,,,,,,,1,1,,,
Q8TU84,Q8TU84_METAC,nan,METAC,2.0,,,,,,,,,,1,1,,,
Q7UZE8,Q7UZE8_RHOBA,nan,RHOBA,2.0,,,,,,,,,,1,1,,,
Q8RDV9,Q8RDV9_FUSNN,nan,FUSNN,2.0,,,,,,,,,,1,1,,,
Q7NIB7,Q7NIB7_GLOVI,nan,GLOVI,2.0,,,,,,,,,,1,1,,,
Q7ULR2,Q7ULR2_RHOBA,nan,RHOBA,2.0,,,,,,,,,,1,1,,,
Q7NHW7,Q7NHW7_GLOVI,nan,GLOVI,2.0,,,,,,,,,,1,1,,,
Q9RUX1,Q9RUX1_DEIRA,nan,DEIRA,2.0,,,,,,,,,,1,1,,,
A6VE70,A6VE70_PSEA7,nan,PSEA7,2.0,,,,,,,,,,1,1,,,
A7EPU7,A7EPU7_SCLS1,nan,SCLS1,2.0,,,,,1,,,,,,1,,,
F7EEY4,F7EEY4_ORNAN,ENSOANP00000024779,ORNAN,1.0,,,,,,,,,,1,,,,
Q8A2F2,Q8A2F2_BACTN,nan,BACTN,1.0,,,,,,,,,,1,,,,
Q7S1Z7,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q7UDX7,Q7UDX7_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q7UGF2,Q7UGF2_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
B5YJR8,B5YJR8_THEYD,nan,THEYD,1.0,,,,,,,,,,,1,,,
Q7UYP6,Q7UYP6_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
B1L4S2,B1L4S2_KORCO,nan,KORCO,1.0,,,,,,,1,,,,,,,
Q86D18,Q86D18_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
Q89W29,Q89W29_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
Q89YI3,Q89YI3_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q89YV3,Q89YV3_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8A5B3,Q8A5B3_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
B8A5E7,B8A5E7_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
B0XPE7,B0XPE7_ASPFC,nan,ASPFC,1.0,,,,,,,,,,1,,,,
A9V735,A9V735_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
A7SE45,A7SE45_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7SE43,A7SE43_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
Q8RG94,Q8RG94_FUSNN,nan,FUSNN,1.0,,,,,,,,,,,1,,,
A7EPF3,A7EPF3_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
Q93781,Q93781_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
Q9ADE3,Q9ADE3_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
A2FTI6,A2FTI6_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
Q7PUQ9,Q7PUQ9_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
C3YWX0,C3YWX0_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
F7E8S2,F7E8S2_ORNAN,ENSOANP00000016108,ORNAN,1.0,,,,,,,,,,1,,,,
Q71V44,Q71V44_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
F7DH73,F7DH73_MONDO,ENSMODP00000008303,MONDO,1.0,,,,,,,,,,1,,,,
H2Q297,H2Q297_PANTR,ENSPTRP00000004803,PANTR,1.0,,,,,,,,,,1,,,,
F6W3D5,F6W3D5_MACMU,ENSMMUP00000023195,MACMU,1.0,,,,,,,,,,1,,,,
H2SKE8,H2SKE8_TAKRU,ENSTRUP00000012881,TAKRU,1.0,,,,,,,,,,1,,,,
F6SWL4,F6SWL4_CIOIN,ENSCINP00000002657,CIOIN,1.0,,,,,,,,,,1,,,,
O14981,BTAF1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
A2EY36,A2EY36_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
O45899,nan,nan,nan,1.0,,,,,,,,,,1,,,,
F1NHJ5,F1NHJ5_CHICK,ENSGALP00000011221,CHICK,1.0,,,,,,,,,,1,,,,
P32333,MOT1_YEAST,nan,YEAST,1.0,,,,,,,,,,1,,,,
F1N507,F1N507_BOVIN,ENSBTAP00000021438,BOVIN,1.0,,,,,,,,,,1,,,,
F1LW16,F1LW16_RAT,ENSRNOP00000024465,RAT,1.0,,,,,,,,,,1,,,,
Q0U8Q9,Q0U8Q9_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
E9ADM2,E9ADM2_LEIMA,nan,LEIMA,1.0,,,,,,,,,,1,,,,
E2QWL4,E2QWL4_CANFA,ENSCAFP00000010955,CANFA,1.0,,,,,,,,,,1,,,,
Q3KLE2,Q3KLE2_CHLTA,nan,CHLTA,1.0,,,,,,,,,,,1,,,
Q4P6N3,Q4P6N3_USTMA,nan,USTMA,1.0,,,,,,,,,,1,,,,
Q52KH4,Q52KH4_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
C3Z7W7,C3Z7W7_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
Q59TC9,Q59TC9_CANAL,nan,CANAL,1.0,,,,,,,,,,1,,,,
Q5KG64,Q5KG64_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,1,,,,
Q5KHC6,Q5KHC6_CRYNJ,nan,CRYNJ,1.0,,,,1,,,,,,,,,,
Q6BZT4,Q6BZT4_YARLI,nan,YARLI,1.0,,,,,,,,,,1,,,,
O43065,MOT1_SCHPO,nan,SCHPO,1.0,,,,,,,,,,1,,,,
