ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9ZUL5,CHR19_ARATH,nan,ARATH,11.0,1,1,,1,1,1,1,1,,,1,1,1,1
B7PRR0,B7PRR0_IXOSC,nan,IXOSC,10.0,1,,,1,1,1,1,1,,,1,1,1,1
A9URJ4,A9URJ4_MONBE,nan,MONBE,9.0,1,1,,,1,1,1,1,,,1,1,,1
L7N496,L7N496_XENTR,ENSXETP00000041632,XENTR,9.0,1,,,,1,1,1,1,,,1,1,1,1
F6UJS3,F6UJS3_CIOIN,ENSCINP00000003425,CIOIN,8.0,,,,1,1,1,,1,,,1,1,1,1
F7E4G1,F7E4G1_ORNAN,ENSOANP00000021711,ORNAN,8.0,,,,1,1,1,,1,,,1,1,1,1
C4Q366,nan,nan,nan,8.0,,,,,1,1,1,1,,,1,1,1,1
C3ZNR8,C3ZNR8_BRAFL,nan,BRAFL,8.0,,,,,1,1,1,1,,,1,1,1,1
Q6C008,Q6C008_YARLI,nan,YARLI,8.0,,,,,1,1,1,1,,,1,1,1,1
H2U547,H2U547_TAKRU,ENSTRUP00000032060,TAKRU,8.0,,,,,1,1,1,1,,,1,1,1,1
A7S5B2,A7S5B2_NEMVE,nan,NEMVE,8.0,,,,1,1,1,,1,,,1,1,1,1
Q4P3Z7,Q4P3Z7_USTMA,nan,USTMA,8.0,,,,,1,1,1,1,,,1,1,1,1
O45609,nan,nan,nan,8.0,,,,,1,1,1,1,,,1,1,1,1
F1NAD2,F1NAD2_CHICK,ENSGALP00000016917,CHICK,7.0,,,,,1,1,,1,,,1,1,1,1
H2QZE1,H2QZE1_PANTR,ENSPTRP00000038869,PANTR,7.0,,,,,1,1,,1,,,1,1,1,1
F6Z1H5,F6Z1H5_MACMU,ENSMMUP00000029277,MACMU,7.0,,,,,1,1,,1,,,1,1,1,1
Q04692,SMRCD_MOUSE,nan,MOUSE,7.0,,,,,1,1,,1,,,1,1,1,1
F6SI67,F6SI67_MONDO,ENSMODP00000024051,MONDO,7.0,,,,,1,1,,1,,,1,1,1,1
D3Z9Z9,SMRCD_RAT,nan,RAT,7.0,,,,,1,1,,1,,,1,1,1,1
E2RG62,E2RG62_CANFA,ENSCAFP00000014754,CANFA,7.0,,,,,1,1,,1,,,1,1,1,1
E1B7X9,SMRCD_BOVIN,ENSBTAP00000045084,BOVIN,7.0,,,,,1,1,,1,,,1,1,1,1
P31380,FUN30_YEAST,nan,YEAST,7.0,,,,,1,1,,1,,,1,1,1,1
Q59N38,Q59N38_CANAL,nan,CANAL,7.0,,,,,1,1,,1,,,1,1,1,1
Q5KCX1,Q5KCX1_CRYNJ,nan,CRYNJ,7.0,,,,,1,1,1,1,,,1,,1,1
B0XYF1,B0XYF1_ASPFC,nan,ASPFC,7.0,,,,,1,1,1,1,,,1,,1,1
B0R061,SMRDA_DANRE,nan,DANRE,7.0,,,,,1,1,,1,,,1,1,1,1
Q7Q145,Q7Q145_ANOGA,nan,ANOGA,7.0,,,,,1,1,,1,,,1,1,1,1
Q9H4L7,SMRCD_HUMAN,nan,HUMAN,7.0,,,,,1,1,,1,,,1,1,1,1
Q9VL72,SMRCD_DROME,nan,DROME,7.0,,,,,1,1,,1,,,1,1,1,1
O74842,FFT2_SCHPO,nan,SCHPO,7.0,,,,,1,1,,1,,,1,1,1,1
Q0UV25,Q0UV25_PHANO,nan,PHANO,6.0,,,,,1,1,,1,,,1,,1,1
A7F5K3,A7F5K3_SCLS1,nan,SCLS1,6.0,,,,,1,1,,1,,,1,,1,1
P87114,FFT1_SCHPO,nan,SCHPO,5.0,,,,,,,,1,,,1,1,1,1
O42861,FFT3_SCHPO,nan,SCHPO,5.0,,,,,,,,1,,,1,1,1,1
Q7S159,Q7S159_NEUCR,nan,NEUCR,4.0,,,,,1,,,,,,1,,1,1
Q55GQ9,Q55GQ9_DICDI,nan,DICDI,4.0,,,,,1,,,,,,1,1,1,
C4QTM6,nan,nan,nan,3.0,,,,,,,,1,,,,1,,1
Q3KLE2,Q3KLE2_CHLTA,nan,CHLTA,2.0,,,,,,,,,,,1,,,1
Q8REE7,Q8REE7_FUSNN,nan,FUSNN,1.0,,,,,,,,,,,1,,,
Q89W29,Q89W29_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
Q89YI3,Q89YI3_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q89YV3,Q89YV3_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8A5B3,Q8A5B3_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8CK37,Q8CK37_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q8RDV9,Q8RDV9_FUSNN,nan,FUSNN,1.0,,,,,,,,,,,1,,,
P60240,RAPA_ECOLI,nan,ECOLI,1.0,,,,,,,1,,,,,,,
Q8RG94,Q8RG94_FUSNN,nan,FUSNN,1.0,,,,,,,,,,,1,,,
Q8TU84,Q8TU84_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q7UYP6,Q7UYP6_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q9ADE3,Q9ADE3_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9RKT0,Q9RKT0_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q9RUX1,Q9RUX1_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,1,,,
Q9VCU8,Q9VCU8_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
A7EAL0,A7EAL0_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
Q7UZE8,Q7UZE8_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q7UDX7,Q7UDX7_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q7ULR2,Q7ULR2_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,1,,,
Q59V62,Q59V62_CANAL,nan,CANAL,1.0,,,,,,,,,,,,,,1
P94593,YWQA_BACSU,nan,BACSU,1.0,,,,,,,,,,,1,,,
O53499,nan,nan,nan,1.0,,,,,,,,,,,1,,,
A6VE70,A6VE70_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,1,,,
Q3KKY6,Q3KKY6_CHLTA,nan,CHLTA,1.0,,,,,,,,,,,1,,,
Q4Q417,Q4Q417_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,1,,
Q54IJ9,BZPQ_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
