orthologACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7C4H7,F7C4H7_MACMU,ENSMMUP00000018701,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A4II93,A4II93_XENTR,ENSXETP00000036254,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BYZ1,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2R6S4,E2R6S4_CANFA,ENSCAFP00000027884,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6XJH0,F6XJH0_ORNAN,ENSOANP00000001562,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7C6P4,F7C6P4_MONDO,ENSMODP00000035598,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSPTRP00000013264,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O75324,SNN_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P61807,SNN_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P61808,SNN_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q17Q87,SNN_BOVIN,ENSBTAP00000037299,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6P957,Q6P957_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
