orthologACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F1MFI7,F1MFI7_BOVIN,ENSBTAP00000043508,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1LUC0,F1LUC0_RAT,ENSRNOP00000005584,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1NYY3,F1NYY3_CHICK,ENSGALP00000025902,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1Q447,F1Q447_CANFA,ENSCAFP00000001050,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6QMZ8,F6QMZ8_ORNAN,ENSOANP00000011727,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6XJ69,F6XJ69_MONDO,ENSMODP00000005847,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6YA32,F6YA32_MACMU,ENSMMUP00000031990,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7AZW4,F7AZW4_XENTR,ENSXETP00000039059,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QWL2,H2QWL2_PANTR,ENSPTRP00000035084,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2SBV1,H2SBV1_TAKRU,ENSTRUP00000009880,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q08CJ9,Q08CJ9_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8BHS8,SYBU_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9NX95,SYBU_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
