orthologACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q3ZCJ1,Q3ZCJ1_BOVIN,ENSBTAP00000038164,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2RK51,E2RK51_CANFA,ENSCAFP00000007296,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1NF82,F1NF82_CHICK,ENSGALP00000019757,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6R8S5,F6R8S5_MONDO,ENSMODP00000000458,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6TRZ1,F6TRZ1_MACMU,ENSMMUP00000014566,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7BGG0,F7BGG0_XENTR,ENSXETP00000000185,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSPTRP00000021235,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6NUY2,Q6NUY2_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8VHW1,CCGL_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8WXS4,CCGL_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9JJV3,CCGL_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
