orthologACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
E1BN89,E1BN89_BOVIN,ENSBTAP00000014829,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B5DFG7,B5DFG7_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1NSV3,F1NSV3_CHICK,ENSGALP00000024170,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1P7S3,F1P7S3_CANFA,ENSCAFP00000023080,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7CJ05,F7CJ05_MACMU,ENSMMUP00000022244,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7DXD3,F7DXD3_ORNAN,ENSOANP00000019029,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7EMH4,F7EMH4_MONDO,ENSMODP00000001876,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QP59,H2QP59_PANTR,ENSPTRP00000027346,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2UVR4,H2UVR4_TAKRU,ENSTRUP00000041042,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q0VG51,Q0VG51_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9NRR1,CYTL1_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
